;$I_{2928}$;$I_{3355}$;$I_{3725}$;$\overline{I}_{3800\text{–}2500}$;$\Sigma I_{p,\ 3800\text{–}2500}$;$\overline{I}_{2928 \pm 50}$;$\overline{I}_{3355 \pm 50}$;$\overline{I}_{3725 \pm 50}$;Split;Fraction_hue;Fraction_grouped_hue;Class
division_5_size_5;1.0;0.6777913874673094;0.0055410653337414;0.4471161584401648;1.6833324528010507;0.8684846459253529;0.5679737509028533;0.008900318875493602;Train;$< 5$;$2 < d \leq 5$;1
division_5_size_3;1.0;0.2603473416298081;0.0218130771516498;0.28343375225538037;1.282160418781458;0.8168262898940627;0.24958367951303007;0.02456719632629314;Train;$< 3$;$2 < d \leq 5$;1
division_6_size_bulk;0.3907330541329539;1.0;0.0059400002754698;0.4830553269684499;1.3966730544084236;0.39050456680401296;0.9787379396168643;0.019820846942478227;Test;$> 0$;$d > 5$;2
division_6_size_75;0.4407128091776546;1.0;0.0212456661444646;0.502525031521641;1.4619584753221193;0.4345646038702835;0.9782539883279083;0.030267061200116147;Test;$< 75$;$d > 5$;2
division_6_size_25;0.4343382242681454;1.0;0.0084821394799512;0.49036385920368;1.4428203637480965;0.42390774455227925;0.9751863165505891;0.024250478851625037;Train;$< 25$;$d > 5$;2
division_6_size_5;0.6401700078071486;1.0;0.0214666606230682;0.5113951696683705;1.6616366684302168;0.5861464550984125;0.9854500807131877;0.025793311674019864;Test;$< 5$;$2 < d \leq 5$;1
division_6_size_3;0.9999999999999998;0.6798701068385078;0.0522608852093909;0.42165812436515127;1.7321309920478984;0.8526029350277748;0.6894325522584357;0.03669644318066082;Test;$< 3$;$2 < d \leq 5$;1
division_7_size_bulk;0.4577376195086877;1.0;0.0164458960010119;0.5173690514816278;1.4741835155096996;0.46093692049813745;0.9877002678703531;0.017833284138000963;Train;$> 0$;$d > 5$;2
division_7_size_75;0.4793945217804277;1.0;0.0146677478349572;0.5277080166734804;1.494062269615385;0.48148794508900367;0.9898945562737484;0.017153685125856;Test;$< 75$;$d > 5$;2
division_7_size_25;0.4637946128484577;1.0;0.0243515879694211;0.5180418042247948;1.488146200817879;0.4651722068910274;0.9891865904206361;0.02484188804694785;Train;$< 25$;$d > 5$;2
division_7_size_5;1.0;0.5184442934959487;0.1913689957832756;0.6058583567907804;1.7098132892792242;0.9578532698258039;0.5164165565218418;0.1508958528872778;Test;$< 5$;$2 < d \leq 5$;1
division_7_size_3;0.9999999999999998;0.5202119342194383;0.2124306249941665;0.5807586752649693;1.7326425592136045;0.942243127845969;0.5157828983035229;0.17310259045819423;Train;$< 3$;$2 < d \leq 5$;1
division_7_size_2.5;1.0;0.4159094590560209;0.2229422742913122;0.4970424601300691;1.638851733347333;0.9095789707384808;0.40806789862405285;0.16791614581911618;Train;$< 2.5$;$2 < d \leq 5$;1
division_7_size_2;0.9999999999999998;0.3834146779092672;0.20750467559117747;0.45560984318808895;1.5909193535004444;0.895345169609067;0.3824430810171683;0.1546254533400722;Train;$< 2$;$d \leq 2$;0
